city,agency,stop_id,stop_name,trip_count,route_count
Bengaluru (Bangalore),BMTC,29483,Allammanapalya,3,1
Bengaluru (Bangalore),BMTC,35513,Allammanapalya,3,1
Bengaluru (Bangalore),BMTC,29484,Alpha College Chikka Gubbi,19,9
Bengaluru (Bangalore),BMTC,35512,Alpha College Chikka Gubbi,12,6
Bengaluru (Bangalore),BMTC,29485,Aluru,17,4
Bengaluru (Bangalore),BMTC,35511,Aluru,5,3
Bengaluru (Bangalore),BMTC,38789,Aluru BDA 1st Stage,3,2
Bengaluru (Bangalore),BMTC,29486,Aluru BDA 2nd Stage,2,1
Bengaluru (Bangalore),BMTC,35510,Aluru BDA 2nd Stage,3,2
Bengaluru (Bangalore),BMTC,29487,Aluru Cross,28,4
Bengaluru (Bangalore),BMTC,35509,Aluru Cross,4,2
Bengaluru (Bangalore),BMTC,29488,Alurupalya,1,1
Bengaluru (Bangalore),BMTC,35508,Alurupalya,14,3
Bengaluru (Bangalore),BMTC,29489,Amarajyothi Badavane,7,4
Bengaluru (Bangalore),BMTC,35507,Amarajyothi Badavane,8,3
Bengaluru (Bangalore),BMTC,29490,Amba Bhavani Nagara,12,4
Bengaluru (Bangalore),BMTC,35506,Amba Bhavani Nagara,12,6
Bengaluru (Bangalore),BMTC,39321,Ambabhavani Badavane,2,1
Bengaluru (Bangalore),BMTC,36059,Ambalagere,1,1
Bengaluru (Bangalore),BMTC,36060,Ambalagere,1,1
Bengaluru (Bangalore),BMTC,39735,Ambalipura,2,1
Bengaluru (Bangalore),BMTC,40494,Ambedkar Circle CK Nagara,22,2
Bengaluru (Bangalore),BMTC,40495,Ambedkar Circle CK Nagara,21,2
Bengaluru (Bangalore),BMTC,21454,Ambedkar Institute of Technology,850,56
Bengaluru (Bangalore),BMTC,21643,Ambedkar Institute of Technology,820,55
Bengaluru (Bangalore),BMTC,35503,Ambedkar Medical College Shampura,15,3
Bengaluru (Bangalore),BMTC,23058,Ambedkar Nagara,355,55
Bengaluru (Bangalore),BMTC,23901,Ambedkar Nagara,373,58
Bengaluru (Bangalore),BMTC,29494,Ambika School,13,6
Bengaluru (Bangalore),BMTC,35502,Ambika School,20,8
Bengaluru (Bangalore),BMTC,20601,Amma Ashrama Cross,212,18
Bengaluru (Bangalore),BMTC,20602,Amma Ashrama Cross,217,21
Bengaluru (Bangalore),BMTC,29497,Amogha Layout,23,9
Bengaluru (Bangalore),BMTC,35499,Amogha Layout,24,8
Bengaluru (Bangalore),BMTC,40474,Amphenol,162,21
Bengaluru (Bangalore),BMTC,40475,Amphenol,139,14
Bengaluru (Bangalore),BMTC,29498,Amritha Ayurvedic Hospital,2,2
Bengaluru (Bangalore),BMTC,35498,Amritha Ayurvedic Hospital,2,1
Bengaluru (Bangalore),BMTC,38136,Amruth Sweets,56,1
Bengaluru (Bangalore),BMTC,38137,Amruth Sweets,56,1
Bengaluru (Bangalore),BMTC,29499,Amrutha Engineering College,2,1
Bengaluru (Bangalore),BMTC,35101,Amrutha Engineering College,46,10
Bengaluru (Bangalore),BMTC,35368,Amrutha Engineering College,44,7
Bengaluru (Bangalore),BMTC,23067,Amruthahalli,58,20
Bengaluru (Bangalore),BMTC,35173,Amruthahalli,112,25
Bengaluru (Bangalore),BMTC,29711,Amruthahalli Bank,60,22
Bengaluru (Bangalore),BMTC,31884,Amruthahalli Bank,77,21
Bengaluru (Bangalore),BMTC,31850,Amruthanagara,17,2
Bengaluru (Bangalore),BMTC,35497,Amruthanagara,16,2
Bengaluru (Bangalore),BMTC,29502,Amruthanagara Canara Bank,8,2
Bengaluru (Bangalore),BMTC,35496,Amruthanagara Canara Bank,8,2
Bengaluru (Bangalore),BMTC,39318,Amruthaya central school,2,1
Bengaluru (Bangalore),BMTC,29503,Anagalipura,5,3
Bengaluru (Bangalore),BMTC,35495,Anagalipura,13,5
Bengaluru (Bangalore),BMTC,29504,Anagalipura Gate,18,9
Bengaluru (Bangalore),BMTC,35494,Anagalipura Gate,13,8
Bengaluru (Bangalore),BMTC,22744,Ananda Ashrama (BG Rd),702,80
Bengaluru (Bangalore),BMTC,22768,Ananda Ashrama (BG Rd),697,84
Bengaluru (Bangalore),BMTC,39748,Ananda Ashrama Bannerughatta,430,67
Bengaluru (Bangalore),BMTC,39749,Ananda Ashrama Bannerughatta,488,73
Bengaluru (Bangalore),BMTC,20603,Ananda Rao Circle,1249,190
Bengaluru (Bangalore),BMTC,29506,Ananda Rao Circle,261,88
Bengaluru (Bangalore),BMTC,35375,Ananda Rao Circle,121,60
Bengaluru (Bangalore),BMTC,40571,Anandanagara,13,5
Bengaluru (Bangalore),BMTC,40572,Anandanagara,12,4
Bengaluru (Bangalore),BMTC,29507,Anandanagara,1,1
Bengaluru (Bangalore),BMTC,35492,Anandanagara,2,1
Bengaluru (Bangalore),BMTC,29511,Anandapura,60,7
Bengaluru (Bangalore),BMTC,35489,Anandapura,61,7
Bengaluru (Bangalore),BMTC,39923,Anandgiri layout,38,7
Bengaluru (Bangalore),BMTC,39924,Anandgiri layout,37,6
Bengaluru (Bangalore),BMTC,29512,Ananthapura,1,1
Bengaluru (Bangalore),BMTC,35488,Ananthapura,3,2
Bengaluru (Bangalore),BMTC,23081,Ananthapura Gate,308,64
Bengaluru (Bangalore),BMTC,23082,Ananthapura Gate,341,77
Bengaluru (Bangalore),BMTC,29513,Anche Muskuru,46,14
Bengaluru (Bangalore),BMTC,35487,Anche Muskuru,51,14
Bengaluru (Bangalore),BMTC,21644,Anchepalya,531,120
Bengaluru (Bangalore),BMTC,23084,Anchepalya,509,108
Bengaluru (Bangalore),BMTC,20604,Anchepalya,565,131
Bengaluru (Bangalore),BMTC,20605,Anchepalya,575,156
Bengaluru (Bangalore),BMTC,39960,Anchibare Gandhinagara,16,2
Bengaluru (Bangalore),BMTC,39961,Anchibare Gandhinagara,12,2
Bengaluru (Bangalore),BMTC,29515,Anchipura,5,4
Bengaluru (Bangalore),BMTC,35485,Anchipura,7,5
Bengaluru (Bangalore),BMTC,29516,Anchipura Colony,5,4
Bengaluru (Bangalore),BMTC,35484,Anchipura Colony,7,5
Bengaluru (Bangalore),BMTC,29517,Anchipura Cross,20,9
Bengaluru (Bangalore),BMTC,35483,Anchipura Cross,20,8
Bengaluru (Bangalore),BMTC,29518,Andhrahalli,351,20
Bengaluru (Bangalore),BMTC,35482,Andhrahalli,334,23
Bengaluru (Bangalore),BMTC,40591,Andhrahalli Aralimara,1,1
Bengaluru (Bangalore),BMTC,40592,Andhrahalli Aralimara,1,1
Bengaluru (Bangalore),BMTC,29519,Andhrahalli Gate,97,18
Bengaluru (Bangalore),BMTC,35481,Andhrahalli Gate,92,18
Bengaluru (Bangalore),BMTC,29520,Andhrahalli Govt School,336,19
Bengaluru (Bangalore),BMTC,35480,Andhrahalli Govt School,320,23
Bengaluru (Bangalore),BMTC,40685,Andhrahalli Road Field,47,3
Bengaluru (Bangalore),BMTC,40686,Andhrahalli Road Field,77,4
Bengaluru (Bangalore),BMTC,29521,Ane Hosahalli Gate,7,2
Bengaluru (Bangalore),BMTC,35479,Ane Hosahalli Gate,6,2
Bengaluru (Bangalore),BMTC,29522,Anehalla,1,1
Bengaluru (Bangalore),BMTC,35478,Anehalla,2,1
Bengaluru (Bangalore),BMTC,23094,Anekal,872,48
Bengaluru (Bangalore),BMTC,23095,Anekal Circle,346,31
Bengaluru (Bangalore),BMTC,23974,Anekal Circle,352,30
Bengaluru (Bangalore),BMTC,30365,Anekal Road Junction,73,15
Bengaluru (Bangalore),BMTC,33142,Anekal Road Junction,68,16
Bengaluru (Bangalore),BMTC,23800,Anepalya,240,19
Bengaluru (Bangalore),BMTC,23818,Anepalya,224,18
Bengaluru (Bangalore),BMTC,29525,Anjan Vidya Kendra School,4,2
