city,agency,route_id,route_short_name,route_full_name,origin_stop,destination_stop,direction_id,trip_count,stop_count,first_departure,last_departure
Bengaluru (Bangalore),BMTC,2680,210-NH,Kempegowda Bus Station → Uttarahalli Bus Stand,Kempegowda Bus Station,Uttarahalli Bus Stand,0,3,25,10:25:00,15:15:00
Bengaluru (Bangalore),BMTC,2684,D24-KRPGH,KR Pura Bus Stand → Depot-24 ITI Layout,KR Pura Bus Stand,Depot-24 ITI Layout,1,40,4,10:45:00,21:50:00
Bengaluru (Bangalore),BMTC,2684,D24-KRPGH,Depot-24 ITI Layout → KR Pura Bus Stand,Depot-24 ITI Layout,KR Pura Bus Stand,0,33,5,05:55:00,15:25:00
Bengaluru (Bangalore),BMTC,2687,360,KR Market (Kalasipalya) → Attibele Bus Stand,KR Market (Kalasipalya),Attibele Bus Stand,0,9,43,06:50:00,20:55:00
Bengaluru (Bangalore),BMTC,2687,360,Attibele Bus Stand → KR Market (Kalasipalya),Attibele Bus Stand,KR Market (Kalasipalya),1,13,40,04:45:00,18:35:00
Bengaluru (Bangalore),BMTC,2689,600-F BEML5-ATB,BEML Layout 5th stage → Attibele Bus Stand,BEML Layout 5th stage,Attibele Bus Stand,0,13,53,06:01:00,19:55:00
Bengaluru (Bangalore),BMTC,2689,600-F BEML5-ATB,Attibele Bus Stand → BEML Layout 5th stage,Attibele Bus Stand,BEML Layout 5th stage,1,13,53,05:35:00,20:00:00
Bengaluru (Bangalore),BMTC,2691,300-D,Shivajinagara Bus Station - Platform 4 → Chowdeshwari Temple B Channasandra,Shivajinagara Bus Station - Platform 4,Chowdeshwari Temple B Channasandra,0,7,23,06:20:00,21:20:00
Bengaluru (Bangalore),BMTC,2691,300-D,Chowdeshwari Temple B Channasandra → Shivajinagara Bus Station - Platform 4,Chowdeshwari Temple B Channasandra,Shivajinagara Bus Station - Platform 4,1,7,18,05:35:00,20:00:00
Bengaluru (Bangalore),BMTC,2693,360-C,KR Market (Kalasipalya) - Platform 3B → Balluru,KR Market (Kalasipalya) - Platform 3B,Balluru,0,1,47,05:50:00,05:50:00
Bengaluru (Bangalore),BMTC,2693,360-C,Balluru → KR Market (Kalasipalya) - Platform 3B,Balluru,KR Market (Kalasipalya) - Platform 3B,1,1,44,17:35:00,17:35:00
Bengaluru (Bangalore),BMTC,2695,600-F BSK-OMC,Oxford Medical College Yadavanahalli → Banashankari Bus Station - Platform 7,Oxford Medical College Yadavanahalli,Banashankari Bus Station - Platform 7,1,5,40,11:20:00,16:30:00
Bengaluru (Bangalore),BMTC,2695,600-F BSK-OMC,Banashankari Bus Station - Platform 7 → Oxford Medical College Yadavanahalli,Banashankari Bus Station - Platform 7,Oxford Medical College Yadavanahalli,0,5,39,09:00:00,14:05:00
Bengaluru (Bangalore),BMTC,2696,293 SBS-LGP-KLN,Shivajinagara Bus Station - Platform 9 → Kalyananagara Bus Stand,Shivajinagara Bus Station - Platform 9,Kalyananagara Bus Stand,0,2,18,12:05:00,20:35:00
Bengaluru (Bangalore),BMTC,2696,293 SBS-LGP-KLN,Kalyananagara Bus Stand → Shivajinagara Bus Station - Platform 9,Kalyananagara Bus Stand,Shivajinagara Bus Station - Platform 9,1,3,15,08:16:00,14:07:00
Bengaluru (Bangalore),BMTC,2697,KBS-3F,Kempegowda Bus Station → Attibele Bus Stand,Kempegowda Bus Station,Attibele Bus Stand,0,29,43,06:10:00,19:55:00
Bengaluru (Bangalore),BMTC,2697,KBS-3F,Attibele Bus Stand → Kempegowda Bus Station,Attibele Bus Stand,Kempegowda Bus Station,1,30,39,08:20:00,20:55:00
Bengaluru (Bangalore),BMTC,2698,500-D D10G-HBLB,Hebbala Bridge → Depot-10 Gate,Hebbala Bridge,Depot-10 Gate,1,18,8,11:05:00,21:15:00
Bengaluru (Bangalore),BMTC,2698,500-D D10G-HBLB,Depot-10 Gate → Hebbala Bridge,Depot-10 Gate,Hebbala Bridge,0,21,8,06:16:00,15:11:00
